patent_name,patent_id_str,uspto_link,patent_id,google_url
Can Opener Extension Fixture,"D755,597",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=13&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D755597,https://patents.google.com/patent/USD755597
Can Opener Press and Lid Remover,"7,926,137",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=37&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,7926137,https://patents.google.com/patent/US7926137
Combined Can Opener and Opening Tool,"D605,915",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=42&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D605915,https://patents.google.com/patent/USD605915
Bottle and can Opener Arrangement,"7,614,321",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=44&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,7614321,https://patents.google.com/patent/US7614321
Tear Top Can opener,"D487,218",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=98&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D487218,https://patents.google.com/patent/USD487218
Can Opener with Two Levers Connected,"6,691,419",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=99&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6691419,https://patents.google.com/patent/US6691419
Beverage Can Opener,"D488,969",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=96&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D488969,https://patents.google.com/patent/USD488969
Pop Top Can Opener,"8,695,457",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=25&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,8695457,https://patents.google.com/patent/US8695457
Easy Can Opener,"D572,098",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=53&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D572098,https://patents.google.com/patent/USD572098
Pop pry and Peel Can Opener,"7,363,837",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=57&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,7363837,https://patents.google.com/patent/US7363837
